target,regime,requested_delay,taps,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
low-pass,sub-minimum,2.92951816,129,0,1,-1,0.110487311,0.960982362
low-pass,sub-minimum,2.92951816,129,1,1,0,0.114973298,1
low-pass,sub-minimum,2.92951816,129,2,1,1,0.0969224365,0.842999534
low-pass,sub-minimum,2.92951816,129,3,1,2,0.0858171651,0.746409529
low-pass,sub-minimum,2.92951816,129,4,1,3,0.0736860232,0.640896839
low-pass,sub-minimum,2.92951816,129,5,1,4,0.0643387227,0.559597088
low-pass,sub-minimum,2.92951816,129,6,1,5,0.0551662736,0.479818137
low-pass,sub-minimum,2.92951816,129,7,1,6,0.0477227187,0.41507654
low-pass,sub-minimum,2.92951816,129,8,1,7,0.0406665075,0.353703932
low-pass,sub-minimum,2.92951816,129,9,1,8,0.0348337032,0.302972115
low-pass,sub-minimum,2.92951816,129,10,1,9,0.029399015,0.255702981
low-pass,sub-minimum,2.92951816,129,11,1,10,0.0248810756,0.216407427
low-pass,sub-minimum,2.92951816,129,12,1,11,0.0207201026,0.18021665
low-pass,sub-minimum,2.92951816,129,13,1,12,0.0172678002,0.150189657
low-pass,sub-minimum,2.92951816,129,14,1,13,0.0141202223,0.122813058
low-pass,sub-minimum,2.92951816,129,15,1,14,0.0115307863,0.100290993
low-pass,sub-minimum,2.92951816,129,16,1,15,0.00919505687,0.079975586
low-pass,sub-minimum,2.92951816,129,17,1,16,0.00730364467,0.0635247036
low-pass,sub-minimum,2.92951816,129,18,1,17,0.00561944512,0.0488760889
low-pass,sub-minimum,2.92951816,129,19,1,18,0.00429034209,0.037315987
low-pass,sub-minimum,2.92951816,129,20,1,19,0.00312677683,0.0271956784
low-pass,sub-minimum,2.92951816,129,21,1,20,0.00224613803,0.0195361712
low-pass,sub-minimum,2.92951816,129,22,1,21,0.0014936262,0.0129910703
low-pass,sub-minimum,2.92951816,129,23,1,22,0.000964068111,0.00838514793
