target,regime,sample_rate_hz,taps,fft_size,requested_delay,minimum_phase_delay,phase_mix,predicted_delay,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple
low-pass,sub-minimum,48000,129,1024,1.46475908,5.85903631,,,249,0.160432483,0.579887867,8.12176663,1.46476108,27.1860535
low-pass,sub-minimum,48000,129,1024,2.92951816,5.85903631,,,305,0.120560118,0.459043533,4.16804174,2.9295215,14.4422027
low-pass,sub-minimum,48000,129,1024,4.39427723,5.85903631,,,262,0.0622433662,0.274388839,1.43047269,4.3942796,5.94945092
low-pass,window,48000,129,1024,5.85903631,5.85903631,0,5.85903631,0,4.61216147e-09,1.9482881e-07,1.42675754e-06,5.85903631,1.11685089
low-pass,window,48000,129,1024,13.1266568,5.85903631,0.125,13.1266568,0,0.00456221938,0.057366709,0.119813545,13.1715411,1.0297311
low-pass,window,48000,129,1024,20.3942772,5.85903631,0.25,20.3942772,0,0.00222624864,0.026242953,0.0585156854,20.4015698,0.888589951
low-pass,window,48000,129,1024,27.6618977,5.85903631,0.375,27.6618977,0,0.000960368401,0.0111260908,0.0281110315,27.658884,0.724192059
low-pass,window,48000,129,1024,34.9295182,5.85903631,0.5,34.9295182,0,0.000396520101,0.00464018657,0.0143685484,34.9279469,0.566177365
low-pass,window,48000,129,1024,42.1971386,5.85903631,0.625,42.1971386,0,0.000159957806,0.00196508642,0.00814390219,42.1972812,0.419441664
low-pass,window,48000,129,1024,49.4647591,5.85903631,0.75,49.4647591,0,6.38417616e-05,0.000896045395,0.0052696173,49.4651898,0.278628568
low-pass,window,48000,129,1024,56.7323795,5.85903631,0.875,56.7323795,0,2.65585291e-05,0.000516422286,0.00399078954,56.7325912,0.13931327
low-pass,window,48000,129,1024,64,5.85903631,1,64,0,2.0972519e-05,0.000510954671,0.00362365892,64,2.52382747e-14
low-pass,window,48000,129,1024,71.2676205,5.85903631,1.125,71.2676205,0,2.65585291e-05,0.000516422286,0.00399078954,71.2674088,0.13931327
low-pass,window,48000,129,1024,78.5352409,5.85903631,1.25,78.5352409,0,6.38417616e-05,0.000896045395,0.0052696173,78.5348102,0.278628568
