target,method,sample_rate_hz,prototype_taps,taps,fft_size,phase_delay_samples,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,minimum_phase_taps,off_centre_linear_energy
low-pass,mixed-phase,48000,2049,129,8192,0,0,8.57198275e-06,0.000445893472,0.00905501923,5.88800907,1.17409523,129,0
low-pass,mixed-phase,48000,2049,129,8192,4,2,9.52377484e-06,0.000495037512,0.00990955224,9.88800708,1.17409916,121,0
low-pass,mixed-phase,48000,2049,129,8192,8,2,1.06508654e-05,0.000552937659,0.0108907304,13.8880046,1.17410437,113,2.22044605e-16
low-pass,mixed-phase,48000,2049,129,8192,12,2,1.20236511e-05,0.000622180013,0.012030847,17.8880027,1.17410873,105,6.66133815e-16
low-pass,mixed-phase,48000,2049,129,8192,16,2,1.38437861e-05,0.000706914955,0.0133788838,21.888009,1.17409625,97,1.11022302e-15
low-pass,mixed-phase,48000,2049,129,8192,20,2,1.70239784e-05,0.00081544607,0.0150184502,25.8880451,1.17401468,89,5.10702591e-15
low-pass,mixed-phase,48000,2049,129,8192,24,2,2.59931153e-05,0.000971588181,0.0171137148,29.8881069,1.17384039,81,1.04360964e-14
low-pass,mixed-phase,48000,2049,129,8192,28,2,5.62944916e-05,0.00127035959,0.0200325618,33.8879844,1.17395226,73,2.33146835e-14
low-pass,mixed-phase,48000,2049,129,8192,32,2,0.000149409417,0.00210313063,0.0246856394,37.8870923,1.17562469,65,6.86117829e-14
low-pass,mixed-phase,48000,2049,129,8192,36,2,0.00041937027,0.00471707343,0.0334733719,41.8854659,1.1791388,57,3.12860848e-13
low-pass,mixed-phase,48000,2049,129,8192,40,2,0.00119156237,0.0124802261,0.0529497877,45.8878319,1.17291237,49,3.15814042e-12
low-pass,mixed-phase,48000,2049,129,8192,44,1,9.68437647e-05,0.00296424008,0.0377167966,49.9058119,1.10956635,41,1.59058449e-05
low-pass,mixed-phase,48000,2049,129,8192,48,1,0.00011642154,0.00236492011,0.029919021,53.9246747,0.898917034,33,0.000128166822
low-pass,mixed-phase,48000,2049,129,8192,52,2,5.22988814e-05,0.00164184884,0.0253239914,57.7777688,0.516716139,25,0.0010367004
low-pass,mixed-phase,48000,2049,129,8192,56,1,8.91068937e-05,0.00203464649,0.0250465118,61.034713,0.159793724,17,0.00845520222
low-pass,mixed-phase,48000,2049,129,8192,60,2,0.000130911277,0.00523631691,0.037534117,63.2105175,0.0146256637,9,0.0724247532
low-pass,mixed-phase,48000,2049,129,8192,64,0,4.91497393e-05,0.0014634619,0.0232663742,64,2.12758389e-14,1,0.591547388
low-pass,mixed-phase,48000,2049,257,8192,0,0,2.44735224e-06,0.000127839799,0.00286721484,5.88800811,1.17409784,257,0
low-pass,mixed-phase,48000,2049,257,8192,8,2,2.7899495e-06,0.000145701453,0.00325419322,13.8880088,1.17409651,241,0
low-pass,mixed-phase,48000,2049,257,8192,16,2,3.19537972e-06,0.000166827264,0.00370447217,21.8880086,1.17409669,225,0
low-pass,mixed-phase,48000,2049,257,8192,24,2,3.6803481e-06,0.000192081368,0.00423264257,29.8880079,1.17409828,209,0
low-pass,mixed-phase,48000,2049,257,8192,32,2,4.26781703e-06,0.000222650167,0.00485810544,37.8880089,1.17409613,193,0
low-pass,mixed-phase,48000,2049,257,8192,40,2,4.9901528e-06,0.000260203636,0.00560723851,45.8880087,1.17409639,177,0
low-pass,mixed-phase,48000,2049,257,8192,48,2,5.89434368e-06,0.000307162143,0.00651685163,53.8880074,1.17409919,161,0
low-pass,mixed-phase,48000,2049,257,8192,56,2,7.05109443e-06,0.000367158832,0.0076399509,61.8880093,1.17409538,145,2.22044605e-16
low-pass,mixed-phase,48000,2049,257,8192,64,2,8.57202692e-06,0.000445895893,0.00905602624,69.8880091,1.17409524,129,4.4408921e-16
low-pass,mixed-phase,48000,2049,257,8192,72,2,1.06509188e-05,0.000552940693,0.0108920858,77.8880046,1.17410437,113,1.11022302e-15
low-pass,mixed-phase,48000,2049,257,8192,80,2,1.38437843e-05,0.000706918273,0.0133807856,85.888009,1.17409627,97,2.88657986e-15
low-pass,mixed-phase,48000,2049,257,8192,88,2,1.82473457e-05,0.000831205502,0.0151624965,93.8881069,1.17384052,81,3.25215954e-09
low-pass,mixed-phase,48000,2049,257,8192,96,2,1.59767945e-05,0.000731435729,0.0136237349,101.887092,1.17562497,65,5.08413469e-08
low-pass,mixed-phase,48000,2049,257,8192,104,1,1.39074403e-05,0.00064227255,0.0122490387,109.887831,1.1729131,49,2.05467241e-06
low-pass,mixed-phase,48000,2049,257,8192,112,1,1.21130807e-05,0.000565029473,0.0110639979,117.924678,0.898918451,33,0.000128236617
low-pass,mixed-phase,48000,2049,257,8192,120,1,1.03398085e-05,0.000495499222,0.0100559112,125.034713,0.159793725,17,0.00845524936
low-pass,mixed-phase,48000,2049,257,8192,128,0,8.7366842e-06,0.00045445268,0.00920923758,128,5.7709921e-14,1,0.591547389
low-pass,mixed-phase,48000,2049,513,8192,0,0,3.76502231e-07,1.96750708e-05,0.00041310252,5.88800852,1.17409709,513,0
