target,regime,sample_rate_hz,taps,fft_size,phase_mix,phase_delay_samples,tolerance_db,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,constraint_violation
low-pass,continuum,48000,129,1024,0,,,4.61216147e-09,1.9482881e-07,1.42675754e-06,5.85903631,1.11685089,
low-pass,continuum,48000,129,1024,0.125,,,0.00456221938,0.057366709,0.119813545,13.1715411,1.0297311,
low-pass,continuum,48000,129,1024,0.25,,,0.00222624864,0.026242953,0.0585156854,20.4015698,0.888589951,
low-pass,continuum,48000,129,1024,0.375,,,0.000960368401,0.0111260908,0.0281110315,27.658884,0.724192059,
low-pass,continuum,48000,129,1024,0.5,,,0.000396520101,0.00464018657,0.0143685484,34.9279469,0.566177365,
low-pass,continuum,48000,129,1024,0.625,,,0.000159957806,0.00196508642,0.00814390219,42.1972812,0.419441664,
low-pass,continuum,48000,129,1024,0.75,,,6.38417616e-05,0.000896045395,0.0052696173,49.4651898,0.278628568,
low-pass,continuum,48000,129,1024,0.875,,,2.65585291e-05,0.000516422286,0.00399078954,56.7325912,0.13931327,
low-pass,continuum,48000,129,1024,1,,,2.0972519e-05,0.000510954671,0.00362365892,64,1.70524153e-14,
low-pass,continuum,48000,129,1024,1.125,,,2.65585291e-05,0.000516422286,0.00399078954,71.2674088,0.13931327,
low-pass,continuum,48000,129,1024,1.25,,,6.38417616e-05,0.000896045395,0.0052696173,78.5348102,0.278628568,
low-pass,continuum,48000,129,1024,1.375,,,0.000159957806,0.00196508642,0.00814390219,85.8027188,0.419441664,
low-pass,continuum,48000,129,1024,1.5,,,0.000396520101,0.00464018657,0.0143685484,93.0720531,0.566177365,
low-pass,continuum,48000,129,1024,1.625,,,0.000960368401,0.0111260908,0.0281110315,100.341116,0.724192059,
low-pass,continuum,48000,129,1024,1.75,,,0.00222624864,0.026242953,0.0585156854,107.59843,0.888589951,
low-pass,continuum,48000,129,1024,1.875,,,0.00456221938,0.057366709,0.119813545,114.828459,1.0297311,
low-pass,continuum,48000,129,1024,2,,,4.61216152e-09,1.94828812e-07,1.42675782e-06,122.140964,1.11685089,
low-pass,factorisation,48000,129,1024,,0,,4.61216149e-09,1.94828811e-07,1.42675756e-06,5.85903631,1.11685089,
low-pass,factorisation,48000,129,1024,,4,,1.56136338e-08,4.39872608e-07,1.32832689e-06,9.85903626,1.11685087,
low-pass,factorisation,48000,129,1024,,8,,1.01320159e-07,4.11218699e-06,1.64608302e-05,13.8590358,1.11685134,
low-pass,factorisation,48000,129,1024,,12,,3.62465922e-07,1.50997634e-05,7.52095748e-05,17.8590346,1.11685258,
low-pass,factorisation,48000,129,1024,,16,,1.01880552e-06,3.85603649e-05,0.000220251963,21.8590341,1.11684925,
low-pass,factorisation,48000,129,1024,,20,,2.82735343e-06,8.43157553e-05,0.000518958153,25.859042,1.11681604,
low-pass,factorisation,48000,129,1024,,24,,8.51757205e-06,0.000178525263,0.00110020888,29.8590577,1.11671812,
low-pass,factorisation,48000,129,1024,,28,,2.72209654e-05,0.000410298107,0.00225060051,33.858966,1.11670462,
low-pass,factorisation,48000,129,1024,,32,,8.81822407e-05,0.00108544365,0.00470284528,37.858333,1.11755517,
low-pass,factorisation,48000,129,1024,,36,,0.000283244694,0.00317221643,0.010496139,41.8568486,1.11976983,
low-pass,factorisation,48000,129,1024,,40,,0.00089601614,0.00962190493,0.0255290632,45.8573921,1.11507809,
low-pass,factorisation,48000,129,1024,,44,,7.08132096e-05,0.00193266693,0.013435795,49.8691543,1.0631506,
low-pass,factorisation,48000,129,1024,,48,,7.27456148e-05,0.00146342338,0.00739089275,53.8808412,0.876410133,
low-pass,factorisation,48000,129,1024,,52,,7.72725234e-05,0.000826685881,0.00373119728,57.7393627,0.515105012,
low-pass,factorisation,48000,129,1024,,56,,5.31707468e-05,0.00136720473,0.00508655252,61.0170826,0.161826618,
low-pass,factorisation,48000,129,1024,,60,,0.000117972276,0.00475850937,0.0170067592,63.2085158,0.014864402,
low-pass,factorisation,48000,129,1024,,64,,2.0972519e-05,0.000510954671,0.00362365892,64,2.29804828e-14,
low-pass,floor-probe,48000,129,1024,,,0.25,0.0252917728,0.232041575,0.257419353,5.40327482,1.48190033,4.98765423e-05
low-pass,floor-probe,48000,129,1024,,,0.5,0.0527688921,0.474844848,0.530599474,4.92680684,1.88567758,9.06970524e-05
low-pass,floor-probe,48000,129,1024,,,1,0.109016737,0.974011269,1.13054094,3.934454,2.97972072,0.000206013451
low-pass,floor-probe,48000,129,1024,,,2,0.227988477,1.89762544,2.60446939,1.76023784,6.67591031,0.00056269324
parametric-eq,continuum,48000,129,1024,0,,,4.28138408e-05,0.000324363004,0.00108332071,6.2105079,6.99604684,
parametric-eq,continuum,48000,129,1024,0.125,,,0.0105817862,0.0767847515,0.248938757,13.7135677,6.53269578,
parametric-eq,continuum,48000,129,1024,0.25,,,0.0135975118,0.0995490636,0.357100818,20.9372228,5.83523271,
parametric-eq,continuum,48000,129,1024,0.375,,,0.011828473,0.0872693985,0.320964313,28.0978315,4.86834289,
parametric-eq,continuum,48000,129,1024,0.5,,,0.00870242176,0.0651482715,0.218927193,35.2128282,3.85075887,
parametric-eq,continuum,48000,129,1024,0.625,,,0.00586440068,0.0443047832,0.162676071,42.3901465,2.82049271,
parametric-eq,continuum,48000,129,1024,0.75,,,0.00380642478,0.0283689384,0.0969261112,49.5931463,1.84203488,
parametric-eq,continuum,48000,129,1024,0.875,,,0.0026593816,0.0185051111,0.0676373305,56.783,0.933067063,
parametric-eq,continuum,48000,129,1024,1,,,0.00286022787,0.0217812832,0.0747727516,64,3.51141327e-14,
