target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,peak_group_delay,peak_index,energy_centroid,pre_peak_energy_ratio,coefficient_peak,coefficient_range_db,constraint_violation
low-pass,budde-iterative,48000,129,1024,16,2,1.01880552e-06,3.85603649e-05,0.000220251963,21.8590341,1.11684925,23.1090161,17,19.5141378,0.177433748,0.113162436,235.666435,0
low-pass,phase-interpolation,48000,129,1024,16,0,0.00222624864,0.026242953,0.0585156854,20.4015698,0.888589951,21.4062523,16,18.6358196,0.017404935,0.130266526,151.787743,0
low-pass,complex-minimax,48000,129,1024,16,14,0.00402949702,0.123481073,0.295013453,20.3915786,0.873038268,21.37982,16,18.635019,0.0174480399,0.130265586,152.14885,0
low-pass,minphase-truncation,48000,129,1024,0,0,4.61216149e-09,1.94828811e-07,1.42675756e-06,5.85903631,1.11685089,7.10909533,1,3.51413785,0.177433748,0.113162436,183.415658,0
low-pass,low-group-delay,48000,129,1024,,320,0.227988477,1.89762544,2.60446939,1.76023784,6.67591031,11.5834579,1,2.70358629,0.243692369,0.134566948,80.5509654,0.00056269324
parametric-eq,budde-iterative,48000,129,1024,16,2,0.000790379835,0.00579974515,0.0204650276,22.2072659,6.99391715,30.2084365,16,17.4660623,5.02322749e-13,1.042573,226.084748,0
parametric-eq,phase-interpolation,48000,129,1024,16,0,0.0135975118,0.0995490636,0.357100818,20.9372228,5.83523271,27.7621879,16,17.1085666,0.00156482836,1.05057405,113.428932,0
parametric-eq,complex-minimax,48000,129,1024,16,12,0.0258973916,0.23964042,0.356905546,20.787448,5.64227122,27.4397081,16,17.0819734,0.0030985421,1.05036305,101.424795,0
parametric-eq,minphase-truncation,48000,129,1024,0,0,4.28138408e-05,0.000324363004,0.00108332071,6.2105079,6.99604684,14.3302981,0,1.46618596,0,1.04257266,115.799993,0
parametric-eq,low-group-delay,48000,129,1024,,320,0.21599078,1.70809922,2.60473469,1.93210271,7.59549706,11.5671847,0,0.614828158,0,1.23593046,88.2943569,0.000650094011
