target,method,machine,go_version,trials,runtime_us
low-pass,budde-iterative,linux/amd64,go1.26.1,5,1390
low-pass,phase-interpolation,linux/amd64,go1.26.1,5,456
low-pass,complex-minimax,linux/amd64,go1.26.1,5,29414
low-pass,low-group-delay,linux/amd64,go1.26.1,5,319978
parametric-eq,budde-iterative,linux/amd64,go1.26.1,5,1608
parametric-eq,phase-interpolation,linux/amd64,go1.26.1,5,518
parametric-eq,complex-minimax,linux/amd64,go1.26.1,5,18725
parametric-eq,low-group-delay,linux/amd64,go1.26.1,5,354106
crossover,budde-iterative,linux/amd64,go1.26.1,5,1720
crossover,phase-interpolation,linux/amd64,go1.26.1,5,774
crossover,complex-minimax,linux/amd64,go1.26.1,5,24457
crossover,low-group-delay,linux/amd64,go1.26.1,5,420017
deep-notch,budde-iterative,linux/amd64,go1.26.1,5,3617
deep-notch,phase-interpolation,linux/amd64,go1.26.1,5,553
deep-notch,complex-minimax,linux/amd64,go1.26.1,5,27081
deep-notch,low-group-delay,linux/amd64,go1.26.1,5,365977
room-correction,budde-iterative,linux/amd64,go1.26.1,5,6782
room-correction,phase-interpolation,linux/amd64,go1.26.1,5,448
room-correction,complex-minimax,linux/amd64,go1.26.1,5,47573
room-correction,low-group-delay,linux/amd64,go1.26.1,5,405224
